,Zipcode,Population,Offenses
0,19100,0,61
1,19101,0,3
2,19102,14115,3
3,19103,65724,6
4,19104,155424,80
5,19105,0,0
6,19106,35220,2
7,19107,44625,14
8,19108,0,0
9,19109,0,0
10,19110,0,0
11,19111,189270,90
12,19112,39,0
13,19113,360,0
14,19114,92721,26
15,19115,99621,14
16,19116,99336,15
17,19117,0,0
18,19118,29424,1
19,19119,81105,48
20,19120,204312,271
21,19121,109716,173
22,19122,64959,45
23,19123,40248,31
24,19124,200073,289
25,19125,68874,40
26,19126,47274,30
27,19127,17739,2
28,19128,105717,19
29,19129,32925,15
30,19130,74610,18
31,19131,129516,133
32,19132,108804,236
33,19133,78189,185
34,19134,182025,432
35,19135,99273,112
36,19136,121941,85
37,19137,25914,15
38,19138,96819,142
39,19139,123813,208
40,19140,162399,329
41,19141,94128,123
42,19142,88785,113
43,19143,194547,230
44,19144,129987,167
45,19145,141783,113
46,19146,105339,80
47,19147,108684,25
48,19148,149196,60
49,19149,165018,120
50,19150,70134,41
51,19151,89649,65
52,19152,99879,21
53,19153,36777,34
54,19154,102588,20
55,19155,0,0
56,19156,0,0
57,19157,0,0
58,19158,0,0
59,19159,0,0
60,19160,0,0
61,19161,0,0
62,19162,0,0
63,19163,0,0
64,19164,0,1
65,19165,0,0
66,19166,0,0
67,19167,0,0
68,19168,0,0
69,19169,0,0
70,19170,0,0
71,19171,0,0
72,19172,0,0
73,19173,0,0
74,19174,0,0
75,19175,0,0
76,19176,0,0
77,19177,0,0
78,19178,0,0
79,19179,0,0
80,19180,0,0
81,19181,0,0
82,19182,0,0
83,19183,0,0
84,19184,0,0
85,19185,0,0
86,19186,0,0
87,19187,0,0
88,19188,0,0
89,19189,0,0
90,19190,0,0
91,19191,0,0
92,19192,0,0
93,19193,0,0
94,19194,0,0
95,19195,0,0
96,19196,0,0
97,19197,0,0
98,19198,0,0
99,19199,0,3
