,Offense,Rate
0,Simple Assault,4355
1,Int Poss Contr Subst By Per Not Reg,3984
2,Recklessly Endangering Another Person,3554
3,Poss Instrument Of Crime W/Int,2694
4,Conspiracy,2397
5,or Possession With Intent to Manufacture or Deliver,2226
6,Delivery,2226
7,Manufacture,2223
8,Receiving Stolen Property,2097
9,Firearms Not To Be Carried W/O License,1943
10,Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,1920
11,Theft By Unlaw Taking-Movable Prop,1852
12,DUI: Gen Imp/Inc of Driving Safely - 1st Off,1692
13,Carry Firearms Public In Phila,1453
14,Terroristic Threats W/ Int To Terrorize Another,1408
15,Crim Tres-Break Into Structure,1386
16,Purc/Rec Of Cont Substby Unauth Per,1367
17,Criminal Mischief,1066
18,Burglary - Not Adapted for Overnight Accommodation,969
19,Possession Of Firearm Prohibited,867
20,Contempt For Violation of Order or Agreement,834
21,No Person Present,720
22,Unauth Use Motor/Other Vehicles,546
23,Robbery-Inflict Serious Bodily Injury,519
24,Bodily Injury Crime,512
25,Strangulation - Applying Pressure to Throat or Neck,483
26,Arrest Prior To Requisition,474
27,Burglary - Overnight Accommodations; Person Present,472
28,Harassment - Subject Other to Physical Contact,445
29,Poss Of Marijuana,441
30,Aggravated Assault,347
31,Criminal Attempt - Murder,341
32,Use/Poss Of Drug Paraph,318
33,Retail Theft-Take Mdse,312
34,Robbery-Inflict Threat Imm Bod Inj,273
35,Resist Arrest/Other Law Enforce,250
36,Endangering Welfare of Children - Parent/Guardian/Other Commits Offense,230
37,Theft From A Motor Vehicle,220
38,Crim Tres-Enter Structure,175
39,Murder,168
40,Carrying Firearm During Emergency,155
41,,154
42,Criminal Attempt - Theft By Unlaw Taking-Movable Prop,147
43,Def Tres Posted,146
44,Driv While Oper Priv Susp Or Revoked,138
45,Rape Forcible Compulsion,135
46,Indec Asslt-W/O Cons Of Other,134
47,Posses Firearm W/Manufacturer Number Altered,134
48,Unlawful Restraint/ Serious Bodily Injury,133
49,Theft By Decep-False Impression,130
50,Sexual Assault,126
51,Obstruct Admin Law/Other Govt Func,120
52,False Imprisonment,118
53,Corruption Of Minors - Defendant Age 18 or Above,116
54,Tamper With/Fabricate Physical Evidence,108
55,Unlawful Contact With Minor - Sexual Offenses,108
56,Threatening,107
57,Etc. Language,106
58,Disorder Conduct Hazardous/Physi Off,106
59,Harassment - Comm. Lewd,104
60,Disorderly Conduct Engage In Fighting,102
61,Indecent Exposure,94
62,Etc,94
63,Criminal Use Of Communication Facility,94
64,Fleeing or Attempting to Elude Officer,89
65,IDSI Forcible Compulsion,87
66,Forgery - Alter Writing,80
67,Careless Driving,78
68,Corruption Of Minors,76
69,Contraband/Controlled Substance,76
70,Criminal Attempt - Burglary - Overnight Accommodations; Person Present,73
71,Patronizing Prostitutes,70
72,Unsworn Falsification to Authorities,69
73,Tamper With Public Record/information,64
74,Robbery Of Motor Vehicle,60
75,Unknown Statute,60
76,Disregard Traffic Lane (Single),59
77,Access Device Used To Obt Or Att Obt Prop/Service,56
78,Aggravated Assault - Attempts to cause or causes BI to designated individuals,55
79,Reckless Driving,54
80,Driving W/O A License,54
81,Causing Catastrophe,53
82,Arson-Danger Of Death Or Bodily Inj,53
83,Make Repairs/Sell/Etc Offens Weap,52
84,Stalking - Repeatedly Commit Acts To Cause Fear,51
85,Accidents Involving Death Or Personal Injury,48
86,Agg. Ind. Assault W/O Consent,47
87,Restrictions on Alcoholic Beverages,47
88,Carrying Loaded Weapon,47
89,Indecent Assault Forcible Compulsion,47
90,Aggravated Assault - Attempts to cause or causes BI with deadly weapon,46
91,Robbery-Take Property Fr Other/Force,45
92,Intim Wit/Vit - Refrain From Report,45
93,Simple Assault Recklessly Endangering Another Person,43
94,Indecent Assault Person Less than 13 Years of Age,41
95,Unlawful Sales Of Liquor,39
96,Assault of Law Enforcement Officer,38
97,Deliver Firearm After 48 Hours Elapsed,38
98,Identity Theft,37
99,Corrupt Organizations,36
100,Accident Involv Damage Attended Vehicle/Prop,36
101,False Identification To Law Enforcement Officer,35
102,Criminal Attempt - Crim Tres-Break Into Structure,34
103,Acci Dam To Unattended Veh Or Propert,34
104,Criminal Attempt - Burglary - Not Adapted for Overnight Accommodation,32
105,Manuf Malt/Brewed Bev W/O License,31
106,Criminal Solicitation - Patronizing Prostitutes,31
107,Discharge Of A Firearm Into Occupied Structure,30
108,Secure Execution Docs By Deception,30
109,Criminal Trespass/Simple Trespasser,30
110,Criminal Attempt - Theft From A Motor Vehicle,29
111,False Report - Falsely Incriminate Another,29
112,Turning Movements And Required Signals,29
113,Kidnapping For Ransom,28
114,Criminal Attempt - Murder of A Law Enforcement Officer of the First Degree,28
115,Verify Address or Photographed as Required,28
116,Hinder App/Prosec-Harbor Or Conceal,27
117,Tamper Records Or Id-Writing,27
118,Open Lewdness,27
119,Escape,26
120,Criminal Attempt - Receiving Stolen Property,26
121,Driving at Safe Speed,25
122,Deal In Proc Unl Act/Intent To Promote,24
123,Statutory Sexual Assault: 8-11 Years Older,24
124,Ethnic Intimidation,23
125,Statutory Sexual Assault: 11 Years Older,23
126,No Headlights,23
127,Improper Turn / Green Light,22
128,Possession Of Firearm By Minor,22
129,Dr Unregist Veh,22
130,Criminal Attempt - Rape Forcible Compulsion,21
131,Required Financial Responsibility,21
132,Aggravated assault by vehicle,21
133,Involuntary Manslaughter,20
134,Institutional Vandalism/Illegal Possession,20
135,Conspiracy - Manufacture,20
136,Weapons of Mass Dest. - Unlawful Poss or Manu,20
137,Duties At Stop Sign,19
138,Incest,18
139,Fraud Document - Insurance Rate Determ,18
140,Retaliation Against Witness or Victim,17
141,Bad Checks,17
142,False/Fraud Med Assist Claim,17
143,Theft Of Services-Acquis Of Service,17
144,"""Submit Claim Serv Not Rendd By Prov""",16
145,"""Submit Claim Serv Not Rendd To Pt""",16
146,Homicide By Vehicle,16
147,Submit Claim W/False Info,15
148,Theft By Fail To Make Req Disp Funds,15
149,Disorder Conduct Obscene Lang/Gest,14
150,Criminal Attempt - Theft By Decep-False Impression,14
151,Alteration/Destruction Of Vin,14
152,Fail to Verify Address/Be Photographed,14
153,Burglary - Overnight Accommodation,13
154,Aggravated Harassment By Prisoner,13
155,Abuse Of Corpse,13
156,Dec Bus Pract - False Weight or Measure,13
157,Criminal Attempt - Sexual Assault,13
158,Propel Missile Into Occ Vehicles,13
159,Patrick Filed By ATTORNEY INFORMATION ENTRIES,12
160,Failure to Comply With Registration of Sexual Offender Requirements,11
161,Robbery-Threat Immed Ser Injury,11
162,Homicide by Vehicle While DUI,11
163,Period For Requiring Lighted Lamps,10
164,Violation of Protective Order,10
165,Restraint Systems - Child Booster Seat,9
166,Scatter Rubbish Upon Land/Stream Etc,9
167,Alter/Obliterate Mark Of Identification,9
168,Aggravated Assault By Vehicle While Dui,9
169,Contact/Comm.W/Minor-Sexual Offenses,9
170,Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child,9
171,Illegal Park Stand Double,9
172,Theft Of Leased Property,9
173,Obedience to Traffic-Control Devices,8
174,Accidents Involving Death or Injury While Not Licensed,8
175,Riot-Intent To Commit Felony,8
176,Criminal Attempt - Robbery-Inflict Threat Imm Bod Inj,8
177,Unauthorized Sale/Transfer Of Tickets,8
178,Firearm Not To Be Carried W/O License-No Crim Viol,8
179,Theft Property Lost Etc By Mistake,8
180,Criminal Solicitation - Prom Pros-Inmate In House Of Prost/Business,8
181,Operat Veh W/O Valid Inspect,7
182,Criminal Attempt - IDSI Forcible Compulsion,7
183,Owning Operating Conducting A Chop Shop,7
184,Disarming Law Enforcement Officer - Without Lawful Authorization,7
185,Criminal Attempt - Arson-Danger Of Death Or Bodily Inj,7
186,Disorderly Conduct-Unreasonable Noise,7
187,Agg. Assault Of Unborn Child,7
188,Criminal Attempt - Unauth Use Motor/Other Vehicles,7
189,Criminal Attempt - Escape,7
190,Loitering And Prowling At Night Time,7
191,Public Drunkenness And Similar Misconduct,6
192,Sale Give Contr Subs To Dep Person,6
193,Deposit Trash On Street,6
194,Provide Accurate Information,6
195,Improp Display Plate,6
196,Impersonating A Public Servant,6
197,Statutory Sexual Assault,6
198,One Way Roadways/Rotary Traffic Island,6
199,Criminal Attempt - Robbery-Inflict Serious Bodily Injury,5
200,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person,5
201,Victim Under 12 Defendant 18 or older,5
202,Patrick ATTORNEY INFORMATION ENTRIES,5
203,Tinted Windows - Compliance W/ Fed. Regulations,5
204,Obstructed Window,5
205,Ind Asslt Person Less 13 Yrs Age,5
206,Unlawful Dissemination of Intimate Image,5
207,Prom Pros-Inmate In House Of Prost/Business,5
208,Flight To Avoid Appreh/Trial/Punish,5
209,Criminal Mischief - Damage Property,5
210,Criminal Attempt - Crim Tres-Enter Structure,5
211,Simple Assault - Grading,5
212,Criminal Solicitation - IDSI Forcible Compulsion,5
213,Criminal Attempt - Criminal Homicide,5
214,Follow Too Closely,5
215,Introduce Weapon May Be Use Escape,4
216,Criminal Homicide,4
217,Crim Misch/Dmg Prop Intent,4
218,Endangering Welfare Of Children,4
219,Fail to Provide Accurate Registration Info,4
220,Disorderly Conduct / Grading,4
221,Improper Pass on Right,4
222,Criminal Attempt - Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,4
223,Regist Card Not Signed,4
224,"""Fail To Disperse Upon Offl Order""",4
225,Criminal Attempt - Possession Of Firearm Prohibited,4
226,Or Neglig,4
227,Fraud Alter/Forg/Counter Title Reg Ins,4
228,Ill Operate Vehicle W/Out Ignition Interlock,4
229,Fraud Obt Foodstamps/Assistance,4
230,"""Offl Oppression-Arrest Search Etc""",4
231,Set Up Lottery Or Numbers Game,4
232,Drive On Sidewalk,4
233,DUI: High Rte of Alc (Bac.10 - <.16) 1st Off,4
234,Aggravated Cruelty to Animals - Torture,4
235,Reckless,4
236,Fail To Keep Right,4
237,Aggravated Assault - Attempts to cause or causes SBI to designated individuals,4
238,Too Slow For Conditions,4
239,Murder Of The Third Degree,4
240,Conspiracy - Int Poss Contr Subst By Per Not Reg,4
241,Fail To Carry Lic,4
242,Veh Reg Suspended,4
243,Cutting Weapons,3
244,Neglect Of Care-Dependent Person,3
245,Damage RR Property,3
246,Everton Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Filed By ATTORNEY INFORMATION ENTRIES,3
247,or equipment,3
248,Criminal Attempt - Kidnapping For Ransom,3
249,Receives Advance Payment For Services and Fails to Perform,3
250,Rape of Child,3
251,State of Emergency,3
252,Criminal Attempt - Strangulation - Applying Pressure to Throat or Neck,3
253,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property,3
254,First Degree Murder Of Unborn Child,3
255,Unentitled Reimbursement,3
256,DUI: Controlled Substance - Impaired Ability - 1st Offense,3
257,Def Tres Actual Communication to Leave School,3
258,Fail To Prev Catast-Duty,3
259,Indecent Assault Person Unconscious,3
260,Interference W/Custody Of Children,3
261,Improp Sunscreening,3
262,Rape Threat Of Forcible Compulsion,3
263,Murder of A Law Enforcement Officer of the First Degree,3
264,False Alarm To Agency Of Public Safety,3
265,infrastructure,3
266,Def Tres Actual Communication To,3
267,Disposition of Vehicle or Vehicle Part With Altered Vehicle Identification Number,3
268,Person Present,3
269,Recklessly Endangering Another Person Tamper With/Fabricate Physical Evidence,3
270,Alcoholic Beverages,3
271,Obstruction Highways,3
272,Criminal Attempt - Robbery Of Motor Vehicle,2
